seconds,points,two_p,two_pm,value
2772,29,7,4,22
2749,11,11,5,6
3858,22,7,6,27
4475,29,21,9,35
4777,43,21,11,44
4625,33,25,13,46
36,0,0,0,0
4179,25,9,6,11
5333,38,12,6,46
4109,23,16,6,48
2316,26,19,12,23
3674,23,8,5,24
7331,48,26,10,20
1391,3,2,1,3
7212,25,13,5,36
6760,44,31,17,52
1135,2,1,0,-1
7678,36,34,14,18
1641,7,6,3,-2
1791,17,7,4,10
3799,16,6,2,18
2608,17,12,5,9
6654,47,19,10,71
844,3,3,1,-7
6454,31,22,10,39
4816,20,15,8,24
6072,62,24,12,78
4069,36,15,5,21
2328,7,5,1,12
2036,8,1,1,7
6579,50,6,3,42
3854,25,6,2,21
2657,16,14,5,11
4796,33,24,9,29
3495,17,7,5,24
4398,38,10,7,56
5838,29,12,4,22
4232,30,15,7,28
4107,22,17,9,18
3449,21,12,5,27
3442,13,5,2,21
3926,30,5,2,38
3799,20,16,4,11
3320,33,19,11,24
4491,30,14,9,27
6238,58,22,13,60
760,9,4,2,12
6626,51,18,8,30
6389,46,19,10,35
5757,25,18,8,21
5653,52,18,8,56
6224,24,16,5,26
6216,38,31,11,24
230,0,0,0,-1
2677,20,13,9,31
5526,34,35,16,34
5012,29,18,10,23
6898,27,9,4,20
2792,11,11,4,13
3,0,0,0,0
5779,28,13,4,23
7047,26,10,4,67
5676,47,37,19,45
5518,26,5,3,22
3907,5,4,2,9
8026,51,21,11,49
7641,60,32,18,54
3296,22,27,11,16
234,0,0,0,-2
5783,24,15,5,1
7090,72,20,16,97
403,2,2,1,-3
2445,11,7,4,6
7711,59,17,11,32
8071,45,21,11,85
7554,59,41,25,76
875,5,3,1,8
8464,54,23,7,44
8391,52,22,17,75
1470,6,4,2,-1
4278,30,20,12,43
3891,28,11,6,29
5766,29,12,6,11
2181,14,2,1,11
7571,64,19,11,55
7786,36,14,7,55
448,2,2,0,2
6105,48,39,18,46
5207,59,23,13,54
7787,54,29,15,55
5704,11,9,5,17
360,0,0,0,-1
4830,41,31,17,50
8569,39,10,5,52
1637,8,3,1,2
3996,25,4,2,20
7521,55,33,17,74
2569,9,4,4,12
7717,46,26,15,55
6281,52,13,7,53
3590,24,11,2,16
280,0,0,0,-1
3168,33,21,14,36
5529,27,17,8,25
7645,45,9,7,59
2448,10,9,4,18
4467,19,13,6,9
6344,62,46,26,85
520,0,0,0,-4
1921,12,9,4,23
5355,31,10,4,33
7158,45,23,14,57
3492,33,14,8,35
7186,44,35,17,55
7175,37,18,12,35
5136,25,23,11,29
1376,4,2,1,2
6196,37,25,16,57
7323,35,18,7,25
4186,17,12,7,26
5417,35,27,13,29
1947,10,7,2,8
1681,12,9,5,13
7247,41,14,7,34
6568,17,8,1,-16
5991,33,13,5,25
5708,46,23,6,45
1077,0,0,0,-6
669,3,1,0,0
7615,26,17,7,29
6771,66,35,20,67
5234,29,24,10,22
4984,49,15,9,68
2152,11,6,4,11
1898,8,6,2,0
458,2,1,1,3
6308,32,9,4,32
6675,58,27,16,65
5692,19,11,4,19
8349,80,35,23,110
2916,24,11,6,18
1119,5,1,1,1
3752,24,17,11,21
8583,35,18,11,50
2836,16,5,4,19
8799,72,45,26,94
4971,40,15,8,40
5538,32,16,12,44
4912,22,11,5,24
879,2,4,1,-1
4369,17,8,4,23
1597,1,3,0,-3
5442,35,25,12,31
6049,64,18,13,82
8440,35,26,10,47
4674,24,20,8,14
8800,77,18,14,75
2009,20,18,10,9
3883,33,17,9,26
1959,19,11,6,15
1449,21,4,3,23
5561,17,3,0,17
5114,12,7,2,19
10373,79,57,25,72
3737,13,7,5,13
7809,40,21,11,37
3222,14,12,5,15
17,0,0,0,0
7516,70,43,28,88
8898,74,24,8,49
2629,0,0,0,-7
5124,18,8,2,8
7599,52,8,6,64
3962,19,18,9,21
6432,44,29,20,82
7911,63,21,11,49
5400,29,28,14,14
7241,54,30,15,71
6313,34,6,1,18
4219,22,11,2,11
3609,29,12,5,17
8652,56,35,17,75
162,0,0,0,1
6873,58,26,11,66
2736,27,11,7,17
9730,61,42,17,61
8319,38,15,3,45
155,0,0,0,0
93,2,0,0,2
7564,52,37,21,71
5701,51,27,17,38
7110,36,14,9,33
3341,8,7,4,12
2465,7,8,3,0
4867,26,12,6,33
1046,4,5,2,2
278,2,2,1,4
7693,49,33,13,44
6555,47,27,15,36
7498,45,16,7,64
6428,53,30,19,59
5614,43,4,2,20
7720,35,11,7,29
7475,54,38,23,73
4075,23,12,8,25
2444,9,7,4,11
4220,31,5,3,38
5459,23,13,6,26
5753,33,9,3,26
7109,61,23,12,62
6888,47,26,17,56
517,1,1,0,3
1014,4,2,1,5
7631,44,32,16,58
5209,54,30,23,81
5610,37,22,10,34
3600,26,8,5,21
5229,34,9,4,39
5509,35,19,14,52
420,1,3,0,-2
52,0,0,0,1
6058,43,11,4,38
3467,39,11,6,34
2772,11,11,5,6
5297,28,13,8,36
5529,41,27,13,47
6144,46,25,11,56
5692,38,29,15,53
36,0,0,0,0
5261,33,12,6,19
6654,48,14,7,62
5174,38,23,12,63
3232,36,23,16,35
