seconds,points,assists,rebounds,value
300,2,2,-1,13
70,-1,0,-1,0
130,2,2,-1,12
163,0,0,-1,5
265,0,1,-1,7
283,1,0,-1,3
419,2,2,-1,14
297,0,1,-1,7
283,1,1,-1,9
307,-1,0,-1,0
415,1,1,-1,8
389,4,3,-1,20
114,-1,0,-1,2
387,3,2,-1,13
89,-1,0,-1,0
42,0,0,-1,1
322,2,2,-1,14
168,-1,0,-1,0
341,1,1,-1,7
189,1,0,-1,2
212,-2,0,-1,0
242,1,1,-1,11
460,3,2,-1,13
14,-1,0,-1,0
297,0,1,-1,11
213,-1,0,-1,3
236,-1,1,-1,11
349,2,1,-1,6
333,1,2,-1,15
398,1,0,-1,5
185,2,0,-1,4
273,0,1,-1,6
187,0,0,-1,5
223,1,0,-1,5
231,2,2,-1,16
357,3,2,-1,14
47,-2,0,-1,0
248,1,2,-1,12
82,-1,0,0,0
217,2,1,0,11
379,2,2,0,15
317,1,2,0,12
17,-1,0,0,0
35,0,0,0,0
402,2,2,0,14
271,1,0,0,2
353,2,2,0,13
213,0,0,0,0
198,1,1,0,7
254,2,1,-1,8
367,0,0,-1,4
257,0,0,-1,0
60,0,0,-1,0
4,0,0,-1,0
312,0,1,-1,10
346,0,1,-1,10
284,0,0,-1,5
181,0,0,-1,3
428,5,4,-1,26
302,1,1,0,9
149,0,0,0,4
281,0,0,0,3
252,2,1,0,11
198,-1,0,0,3
226,0,1,0,9
130,1,0,0,2
130,0,0,0,4
296,0,0,0,3
224,3,3,0,20
103,-1,0,0,2
262,1,1,0,10
204,1,1,0,6
349,2,1,0,7
348,3,3,0,18
70,0,0,0,2
278,1,1,0,6
212,0,1,0,7
178,0,0,0,0
290,4,3,0,19
242,-1,1,0,7
167,0,0,0,5
185,0,0,0,4
106,-1,0,-1,2
350,2,1,-1,8
285,1,0,-1,5
203,0,1,-1,7
285,1,2,-1,12
90,0,0,-1,2
160,0,0,-1,3
265,-1,1,-1,10
143,-1,0,-1,0
68,0,0,-1,0
324,1,1,-1,8
278,1,1,-1,7
334,1,1,0,10
427,3,3,0,18
6,0,0,0,0
406,4,3,0,23
86,1,1,0,10
245,2,1,0,11
60,-1,0,0,0
239,1,1,0,6
402,-2,1,0,11
271,1,0,0,5
285,1,0,0,5
179,0,1,0,6
98,0,0,0,1
195,1,1,0,8
338,4,3,0,22
336,3,3,0,18
276,0,1,0,8
